RX Date/Time,Mask Temp(field 1),Room Temp(field 2),Delta(field 3),Tank Temp(field 4)
2022/07/15/ 14:52:53::465,Temp Test,11.25,22.25,0.4375,11.0
2022/07/15/ 14:52:58::529,Temp Test,11.3125,22.25,0.4375,10.9375
2022/07/15/ 14:53:03::593,Temp Test,11.25,22.1875,0.4375,10.9375
2022/07/15/ 14:53:08::657,Temp Test,11.3125,22.25,0.4375,10.9375
2022/07/15/ 14:53:13::721,Temp Test,11.25,22.1875,0.4375,10.9375
2022/07/15/ 14:53:18::785,Temp Test,11.25,22.1875,0.4375,10.9375
2022/07/15/ 14:53:23::850,Temp Test,11.25,22.25,0.4375,11.0
2022/07/15/ 14:53:28::914,Temp Test,11.25,22.25,0.5,11.0
2022/07/15/ 14:53:33::978,Temp Test,11.1875,22.25,0.4375,11.0625
2022/07/15/ 14:53:39::042,Temp Test,11.1875,22.1875,0.4375,11.0
2022/07/15/ 14:53:44::106,Temp Test,11.25,22.25,0.4375,11.0
2022/07/15/ 14:53:49::170,Temp Test,11.25,22.1875,0.4375,10.9375
2022/07/15/ 14:53:54::233,Temp Test,11.25,22.25,0.4375,11.0
2022/07/15/ 14:53:59::297,Temp Test,11.25,22.25,0.4375,11.0
2022/07/15/ 14:54:04::363,Temp Test,11.1875,22.1875,0.4375,11.0
2022/07/15/ 14:54:09::428,Temp Test,11.1875,22.1875,0.4375,11.0
2022/07/15/ 14:54:14::492,Temp Test,11.25,22.1875,0.4375,10.9375
2022/07/15/ 14:54:19::556,Temp Test,11.1875,22.1875,0.4375,11.0
2022/07/15/ 14:54:24::620,Temp Test,11.1875,22.1875,0.4375,11.0
2022/07/15/ 14:54:29::684,Temp Test,11.25,22.1875,0.4375,10.9375
2022/07/15/ 14:54:34::748,Temp Test,11.25,22.1875,0.4375,10.9375
2022/07/15/ 14:54:39::811,Temp Test,11.25,22.1875,0.4375,10.9375
2022/07/15/ 14:54:44::875,Temp Test,11.25,22.1875,0.4375,10.9375
2022/07/15/ 14:54:49::939,Temp Test,11.25,22.1875,0.4375,10.9375
2022/07/15/ 14:54:55::003,Temp Test,11.25,22.1875,0.375,10.9375
2022/07/15/ 14:55:00::066,Temp Test,11.25,22.25,0.4375,11.0
2022/07/15/ 14:55:05::133,Temp Test,11.1875,22.1875,0.4375,11.0
2022/07/15/ 14:55:10::195,Temp Test,11.1875,22.1875,0.4375,11.0
2022/07/15/ 14:55:15::260,Temp Test,11.25,22.1875,0.4375,10.9375
2022/07/15/ 14:55:20::323,Temp Test,11.25,22.25,0.375,11.0
2022/07/15/ 14:55:25::387,Temp Test,11.25,22.1875,0.4375,10.9375
2022/07/15/ 14:55:30::451,Temp Test,11.1875,22.25,0.4375,11.0625
2022/07/15/ 14:55:35::518,Temp Test,11.1875,22.1875,0.4375,11.0
2022/07/15/ 14:55:40::581,Temp Test,11.25,22.1875,0.4375,10.9375
2022/07/15/ 14:55:45::644,Temp Test,11.1875,22.1875,0.4375,11.0
2022/07/15/ 14:55:50::709,Temp Test,11.25,22.1875,0.4375,10.9375
2022/07/15/ 14:55:55::772,Temp Test,11.1875,22.1875,0.375,11.0
2022/07/15/ 14:56:00::837,Temp Test,11.25,22.1875,0.4375,10.9375
2022/07/15/ 14:56:05::900,Temp Test,11.25,22.1875,0.4375,10.9375
2022/07/15/ 14:56:10::965,Temp Test,11.25,22.1875,0.4375,10.9375
2022/07/15/ 14:56:16::029,Temp Test,11.25,22.1875,0.4375,10.9375
